altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"Research policy and management of risks in life sciences research for global health security : report of a meeting, Bangkok, Thailand, 10-12 December 2007",https://iris.who.int/bitstream/10665/69943/1/WHO_HSE_EPR_2008.4_eng.pdf,2012-06-17T01:33:03+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Biosecurity Challenges of the Global Expansion of High-Containment Biological Laboratories: Summary of a Workshop,https://www.nap.edu/download/13315,2012-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,A Survey of Attitudes and Actions on Dual Use Research in the Life Sciences: A Collaborative Effort of the National Research Council and the American Association for the Advancement of Science,https://www.nap.edu/download/12460,2009-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Life Sciences and Related Fields: Trends Relevant to the Biological Weapons Convention,https://www.nap.edu/download/13130,2011-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,The Role of Scientific and Technical Data and Information in the Public Domain: Proceedings of a Symposium,https://www.nap.edu/download/10785,2003-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"Animal Health at the Crossroads: Preventing, Detecting, and Diagnosing Animal Diseases",https://www.nap.edu/download/11365,2005-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Challenges and Opportunities for Education About Dual Use Issues in the Life Sciences,https://www.interacademies.org/sites/default/files/publication/12958.pdf,2010-01-01T12:00:00+00:00,,https://doi.org/10.17226/12958
605598,10.1128/JVI.75.3.1205-1210.2001,policy,The 2nd International Forum on Biosecurity: Summary of an International Meeting,https://www.nap.edu/download/12525,2009-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"Innovation’s Darker Future: Biosecurity, Technologies of Mass Empowerment, and the Constitution",https://www.brookings.edu/wp-content/uploads/2016/06/1208_biosecurity_wittes.pdf,2011-01-06T17:03:36+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Toward a Containment Strategy for Smallpox Bioterror: An Individual-Based Computational Approach,https://www.brookings.edu/wp-content/uploads/2016/06/bioterrorism.pdf,2002-12-11T13:14:04+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"Globalization, Biosecurity, and the Future of the Life Sciences",https://www.nap.edu/download/11567,2006-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Department of Homeland Security Bioterrorism Risk Assessment: A Call for Change,https://www.nap.edu/download/12206,2008-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Respuesta de la salud pública a las armas biológicas y químicas: Guía de la OMS,http://apps.who.int/iris/bitstream/10665/165986/1/92%2075%2032485%209.pdf,2003-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Dual Use Research of Concern in the Life Sciences: Current Issues and Controversies,https://www.nap.edu/download/24761,2017-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Biosecurity: Limiting Terrorist Access to Deadly Pathogens,https://www.usip.org/sites/default/files/pwks52.pdf,2003-11-17T15:07:13+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"Innovation: managing risk, not avoiding it - evidence and case studies",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381906/14-1190b-innovation-managing-risk-evidence.pdf,2014-11-18T18:40:24+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Governance of dual-use research: an ethical dilemma,https://iris.who.int/bitstream/10665/270508/1/PMC2739909.pdf,2018-03-26T02:36:27+00:00,,https://doi.org/10.2471/blt.08.051383
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Biorisk management : laboratory biosecurity guidance,https://apps.who.int/iris/bitstream/handle/10665/69390/WHO_CDS_EPR_2006.6_eng.pdf?sequence=1&isAllowed=y,2006-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Public health response to biological and chemical weapons : WHO guidance,https://apps.who.int/iris/bitstream/handle/10665/42611/9241546158.pdf?sequence=1&isAllowed=y,2004-01-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Synthetische Biologie - die nächste Stufe der Bio- und Gentechnologie,https://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,2015-12-01T00:00:00+00:00,,
