altmetric_id,core_doi,source_type,title,unique_identifier,posted_on,summary,lang_checked
509140,10.1126/science.1072266,blogs,Synthesizing A Human Genome,http://epigenie.com/synthesizing-a-human-genome,17/06/2016,"One score and six years ago, humanity embarked upon the Human Genome Project (HGP), sequencing all 3 gigabases of our genetic instruction manual. More than 1000 human genomes later, a consortium of synthetic biology heavy-hitters has proposed a new gran...",True
509140,10.1126/science.1072266,blogs,Self-Replicating Xenobots Could Help Cure Diseases—Or Create New Bioweapons,https://singularityhub.com/2021/12/10/self-replicating-xenobots-could-help-cure-diseases-or-create-new-bioweapons,10/12/2021,"In 2020, scientists made global headlines by creating “xenobots”—tiny “programmable” living things made of several thousand frog stem cells. These pioneer xenobots could move around in fluids, and scientists claimed they could be useful for monitoring rad...",True
509140,10.1126/science.1072266,blogs,"Design, construction, and functional characterization of a tRNA neochromosome in yeast",https://www.cell.com/cell/fulltext/s0092-8674(23)01130-3?rss=yes,08/11/2023,A designer tRNA neochromosome containing all 275 nuclear tRNA genes of Saccharomyces cerevisiae reveals unexpected genomic plasticity and insights into both tRNA and chromosome biology.,True
509140,10.1126/science.1072266,blogs,Debugging and consolidating multiple synthetic chromosomes reveals combinatorial genetic interactions,https://www.cell.com/cell/fulltext/s0092-8674(23)01079-6?rss=yes,08/11/2023,"Multiple synthetic chromosomes in Sc2.0 were consolidated together into a single yeast strain, revealing combinational genetic interactions through CRISPR D-BUGS.",True
509140,10.1126/science.1072266,blogs,The Dangers of Mirrored Life,https://www.asimov.press/p/mirror-life,12/12/2024,"The creation of a &#8220;mirrored&#8221; organism could &#8220;trigger severe ecological disruptions,&#8221; according to a 300-page technical report released today. Its authors claim such organisms could quickly spread across the world, fatally infect ...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://theconversation.com/the-next-pandemic-could-be-downloaded-from-the-internet-22653,03/02/2014,"Last October, scientists in California sequenced the DNA for the “type H” botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people , making it the deadliest substance yet discovered – with no antidote. The DNA sequence was...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://www.technology.org/2014/02/04/next-pandemic-downloaded-internet,04/02/2014,"Too much information could be a recipe for disaster. Abode of Chaos Last October, scientists in California sequenced the DNA for the “type H” botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people, making it the deadlies...",True
509140,10.1126/science.1072266,news,The next pandemic could be downloaded from the internet,http://phys.org/news/2014-02-pandemic-downloaded-internet.html,04/02/2014,"Last October, scientists in California sequenced the DNA for the ""type H"" botulinum toxin. One gram of this toxin would be sufficient to kill half a billion people, making it the deadliest substance yet discovered – with no antidote. The DNA sequence was ...",True
509140,10.1126/science.1072266,news,Scientists Build a Yeast Chromosome From Scratch. Next Up? Designer Genomes,http://www.smithsonianmag.com/science-nature/scientists-build-yeast-chromosome-scratch-next-up-designer-genomes-180950281,27/03/2014,"Creating synthetic organisms with specially-tailored genomes is a long way off, but the first synthetic eukaryotic chromosome is a big step forward",True
509140,10.1126/science.1072266,news,Writing the human genome,http://cen.acs.org/articles/95/i28/writing-human-genome.html,10/07/2017,A group of researchers plan to synthesize the human genome from scratch. They face huge scientific hurdles—and public scrutiny Credit: Will Ludwig/C&EN/Shutterstock Credit: Will Ludwig/C&EN/Shutterstock In brief Synthetic biologists have been...,True
509140,10.1126/science.1072266,news,Synthetic Biology Could Allow Bad Actors to Re-Create Smallpox,http://www.slate.com/articles/technology/future_tense/2017/10/synthetic_biology_could_lead_to_the_re_emergence_of_smallpox.html,19/10/2017,"If we don’t take steps now, synthetic biology could let bad actors re-create the devastating virus.",True
509140,10.1126/science.1072266,news,Synthetic Biology Could Allow Bad Actors to Re-Create Smallpox,http://trueviralnews.com/synthetic-biology-could-allow-bad-actors-to-re-create-smallpox,20/10/2017,"SynBioBeta, which bills itself as the world’s premier forum for innovators and investors interested in synthetic biology, concluded its sixth annual conference in San Francisco earlier this month.",True
