first_order_doi,altmetric_id,source_type,title,unique_identifier,posted_on,summary,lang_checked
10.1038/s41467-020-19819-1,95202850,news,City of Hope initiates phase 1 clinical trial to test its first SARS-CoV-2 investigational vaccine,http://www.pressreleasepoint.com/city-hope-initiates-phase-1-clinical-trial-test-its-first-sars-cov-2-investigational-vaccine,25/11/2020,"• The vaccine strategy used to generate this candidate has a record of safety and efficacy, rapid immune response and lasting protection • The investigational vaccine was conceived and developed by City of Hope scientists and is being produced for...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,http://www.digitaljournal.com/pr/4897672,30/11/2020,"DUARTE, Calif.--(Business Wire)--A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,http://www.businesswire.com/news/home/20201130005859/en/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research,30/11/2020,"Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants DUARTE, Calif.--( BUSINESS WIRE )--A City of Hope investigational...",True
10.1038/s41467-020-19819-1,95202850,news,CITY OF HOPE : COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.marketscreener.com/news/latest/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research--31903304,30/11/2020,Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants A City of Hope investigational vaccine produced strong protective...,True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.morningstar.com/news/business-wire/20201130005859/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research,30/11/2020,Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants A City of Hope investigational vaccine produced strong protective...,True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://finance.yahoo.com/news/city-hope-covid-19-investigational-192900709.html,30/11/2020,Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants A City of Hope investigational vaccine produced strong protective...,True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.cadillacnews.com/business/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_1ba4f870-9404-5050-8776-2d211036708d.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.benzinga.com/pressreleases/20/11/b18581922/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research,30/11/2020,Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants A City of Hope investigational vaccine produced strong protective...,True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.dailyamerican.com/ap/business/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_3c16a23b-385a-51b6-9f65-5e872daee089.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.oaoa.com/news/business/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_e2733491-5beb-5605-8d8b-c36093028f02.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.vbprofiles.com/press_releases/5fc5499bb9abe41c09443136,30/11/2020,"Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants DUARTE, Calif.--( BUSINESS WIRE )-- A City of Hope investigational...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.thedailytimes.com/business/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_46887186-dda7-5c65-8356-b0a7ff791cd1.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.newspressnow.com/news/national_news/coronavirus/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_9e5bdc9e-4ef2-548c-b1af-bc470f1e3ae6.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.bakersfield.com/ap/news/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_bdfda96e-9734-56de-b435-928d00ac9f25.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.thepublicopinion.com/ap/business/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/article_c71d7a1f-6bc5-57cb-9d70-b16f407ec2b6.html,30/11/2020,"- A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://jotup.co/node/1068303,30/11/2020,"A A City of Hope investigational vaccine produced strong protective immunity against SARS-CoV-2, including neutralizing antibodies that recognize the current dominant circulating form, which is a mutant of the original Wuhan strain, according to...",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,http://www.firstwordpharma.com/node/1778922,30/11/2020,"Nov. 30, 2020 19:29 UTC Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants DUARTE, Calif.--(BUSINESS WIRE)-- A City of Hope...",True
10.1038/s41467-020-19819-1,95202850,news,COVID-19 vaccines based on novel platforms show early promise in mice,https://www.fiercebiotech.com/research/covid-19-vaccines-based-novel-platforms-show-early-promise-mice,03/12/2020,"Pfizer and BioNTech’s mRNA vaccine BNT162b2 has already become the first COVID-19 shot approved for widespread use in the Western world, with other late-stage candidates not so far behind.",True
10.1038/s41467-020-19819-1,95202850,news,City of Hope COVID-19 Investigational Vaccine Produces Strong Immunity in Preclinical Research,https://www.biospace.com/article/releases/city-of-hope-covid-19-investigational-vaccine-produces-strong-immunity-in-preclinical-research/?s=83,30/11/2020,"Nov. 30, 2020 19:29 UTC Publication in Nature Communications demonstrates robust neutralizing antibodies and T cell responses against SARS-CoV-2 Phase 1 clinical trial currently enrolling participants DUARTE, Calif.--( BUSINESS WIRE )-- A City of...",True
10.1038/s41467-020-19819-1,95202850,news,Coronavirus Vaccine Tracker,https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker-esp-2.html,08/12/2020,"Vaccines typically require years of research and testing before reaching the clinic, but in 2020, scientists embarked on a race to produce safe and effective coronavirus vaccines in record time.",True
10.1038/s41467-020-19819-1,95202850,news,‘On the cusp of great things’: Dozens of other COVID vaccines working their way to public,https://www.dailybreeze.com/2021/01/24/on-the-cusp-of-great-things-dozens-of-other-covid-vaccines-working-their-way-to-public,24/01/2021,"Move over, Pfizer and Moderna. You won’t be the only games in town too much longer.",True
10.1038/s41467-020-19819-1,95202850,news,‘On the cusp of great things’: Dozens of other COVID vaccines working their way to public,https://www.ocregister.com/2021/01/24/on-the-cusp-of-great-things-dozens-of-other-covid-vaccines-working-their-way-to-public,24/01/2021,"Move over, Pfizer and Moderna. You won’t be the only games in town too much longer.",True
10.1038/s41467-020-19819-1,95202850,news,‘On the cusp of great things’: Dozens of other COVID vaccines working their way to public,https://www.eastbaytimes.com/2021/01/24/on-the-cusp-of-great-things-dozens-of-other-covid-vaccines-working-their-way-to-public,24/01/2021,"Move over, Pfizer and Moderna. You won’t be the only games in town too much longer.",True
10.1038/s41467-020-19819-1,95202850,news,‘On the cusp of great things’: Dozens of other COVID vaccines working their way to public,https://www.mercurynews.com/2021/01/24/on-the-cusp-of-great-things-dozens-of-other-covid-vaccines-working-their-way-to-public,24/01/2021,"Move over, Pfizer and Moderna. You won’t be the only games in town too much longer.",True
10.1038/s41467-020-19819-1,95202850,news,‘On the cusp of great things’: Dozens of other COVID vaccines working their way to public,https://www.twincities.com/2021/01/25/on-the-cusp-of-great-things-dozens-of-other-covid-vaccines-working-their-way-to-public,25/01/2021,"Move over, Pfizer and Moderna. You won’t be the only games in town too much longer.",True
10.1038/s41467-020-19819-1,95202850,policy,December 2020 Monitoring International Trends Report,https://www.blood.gov.au/sites/default/files/documents/2024-04/december-2020-sector-monitoring.pdf,26/01/2021,,True
10.1038/s41467-020-19819-1,95202850,patent,POXVIRUS-BASED VECTORS PRODUCED BY NATURAL OR SYNTHETIC DNA AND USES THEREOF,https://app.dimensions.ai/details/patent/wo-2021158565-a3,16/09/2021,"Disclosed are methods of producing poxvirus-based vectors or recombinant poxvirus-based vectors from naturally derived, chemically synthesized DNA fragments, or a combination of naturally derived and chemically synthesized DNA fragments. One or more DNA...",True
10.1038/s41467-020-19819-1,95202850,patent,ADENOVIRUS SARS-COV-2 VACCINE,https://app.dimensions.ai/details/patent/wo-2022197840-a1,22/09/2022,The present invention includes methods and compositions useful for treating or preventing a coronavirus infection in a subject. In certain embodiments the treatment comprises adenoviral-based vaccines against SARS-CoV-2 viral proteins.,True
10.1038/s41467-020-19819-1,95202850,patent,SYNTHETIC MODIFIED VACCINIA ANKARA (SMVA) BASED CORONAVIRUS VACCINES,https://app.dimensions.ai/details/patent/wo-2023092021-a1,25/05/2023,Disclosed are recombinant synthetic MVA-based vaccines for preventing or treating infections caused by a coronavirus or variants thereof.,True
10.1038/s41467-020-19819-1,95202850,patent,"METHODS OF PREVENTING, TREATING, OR REDUCING THE SEVERITY OF CORONAVIRUS DISEASE 2019 (COVID-19)",https://app.dimensions.ai/details/patent/wo-2023092023-a3,29/06/2023,Disclosed are methods of preventing or treating COVID-19 caused by a coronavirus infection or variants thereof by administration to a subject in need thereof a synthetic MVA-based vaccine. Also disclosed are methods of preventing or treating a coronavir...,True
10.1038/s41467-020-19819-1,95202850,patent,NEW DNA SARS-COV-2 VACCINE,https://app.dimensions.ai/details/patent/ep-4316513-a1,07/02/2024,"The invention relates to combinations, pharmaceutical compositions and kits comprising polynucleotides encoding the spike (S) glycoprotein and the nucleocapsid (N) protein of SARS-CoV-2, either in a single or two separate vectors (e.g., a DNA plasmid), ...",True
10.1038/s41467-020-19819-1,95202850,patent,NEW DNA SARS-COV-2 VACCINE,https://app.dimensions.ai/details/patent/wo-2024028416-a1,08/02/2024,"The invention relates to combinations, pharmaceutical compositions and kits comprising polynucleotides encoding the spike (S) glycoprotein and the nucleocapsid (N) protein of SARS- CoV-2, either in a single or two separate vectors (e.g., a DNA plasmid),...",True
10.1016/j.antiviral.2019.06.005,61889210,blogs,TWiV 927: Merchlinsky vs monkeypox,https://www.microbe.tv/twiv/twiv-927,14/08/2022,"Michael Merchlinsky joins TWiV to discuss the development of two smallpox antiviral drugs and two smallpox vaccines and their uses during the monkeypox outbreak. Hosts: Vincent Racaniello, Dickson Despommier, Rich Condit, and Kathy Spindler Guest: Michael...",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Monkeypox: What we know about the outbreak, vaccinations, and treatments",https://www.cbsnews.com/news/monkeypox-what-to-know-vaccine-symptoms,18/07/2022,"Health officials around the world are racing to curb an outbreak of monkeypox cases that has swelled into the thousands, deploying both vaccines and treatments for a disease that can lead to weeks of painful rashes and lesions for those infected.",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Monkeypox: What we know about the outbreak, vaccinations, and treatments",https://news.yahoo.com/monkeypox-know-outbreak-vaccinations-treatments-223528212.html,18/07/2022,"Health officials around the world are racing to curb an outbreak of monkeypox cases that has swelled into the thousands, deploying both vaccines and treatments for a disease that can lead to weeks of painful rashes and lesions for those infected.",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Monkeypox: What we know about the outbreak, vaccinations, and treatments",https://dnyuz.com/2022/07/18/monkeypox-what-we-know-about-the-outbreak-vaccinations-and-treatments,18/07/2022,"Health officials around the world are racing to curb an outbreak of monkeypox cases that has swelled into the thousands, deploying both vaccines and treatments for a disease that can lead to weeks of painful rashes and lesions for those infected.",True
10.1016/j.antiviral.2019.06.005,61889210,news,Monkeypox antivirals are extremely hard to access. Clinical trials could make it easier.,https://www.nbcnews.com/health/health-news/clinical-trials-get-monkeypox-drug-desperate-patients-us-efforts-lag-rcna39444,22/07/2022,"On a sultry Tuesday evening in New York City, Luke Brown excitedly opened a newly delivered bottle of black-and-orange pills, popped his first dose in his mouth, and washed it down with root beer.",True
10.1016/j.antiviral.2019.06.005,61889210,news,Monkeypox antivirals are extremely hard to access. Clinical trials could make it easier,https://www.msn.com/en-us/health/medical/monkeypox-antivirals-are-extremely-hard-to-access-clinical-trials-could-make-it-easier/ar-aazrmzd?li=bbnba9o,22/07/2022,"On a sultry Tuesday evening in New York City, Luke Brown excitedly opened a newly delivered bottle of black-and-orange pills, popped his first dose in his mouth, and washed it down with root beer.",True
10.1016/j.antiviral.2019.06.005,61889210,news,Monkeypox antivirals are extremely hard to access. Clinical trials could make it easier,https://www.today.com/health/health/clinical-trials-get-monkeypox-drug-desperate-patients-us-efforts-lag-rcna39600,22/07/2022,"On a sultry Tuesday evening in New York City, Luke Brown excitedly opened a newly delivered bottle of black-and-orange pills, popped his first dose in his mouth, and washed it down with root beer.",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Clinical trials could get monkeypox drug to desperate patients, but U.S. efforts lag",https://news.yahoo.com/clinical-trials-could-monkeypox-drug-163623591.html,22/07/2022,"On a sultry Tuesday evening in New York City, Luke Brown excitedly opened a newly delivered bottle of black-and-orange pills, popped his first dose in his mouth, and washed it down with root beer.",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Clinical trials could get monkeypox drug to desperate patients, but U.S. efforts lag",http://www.dailymagazine.news/clinical-trials-could-get-monkeypox-drug-to-desperate-patients-but-u-s-efforts-lag-nid-1956965.html,22/07/2022,"On a sultry Tuesday evening in New York City, Luke Brown excitedly opened a newly delivered bottle of black-and-orange pills, popped his first dose in his mouth, and washed it down with root beer.",True
10.1016/j.antiviral.2019.06.005,61889210,news,"Monkeypox: What we know about the outbreak, vaccinations and treatments",https://www.cbsnews.com/minnesota/news/monkeypox-what-to-know-vaccine-symptoms,02/08/2022,"Gottlieb says U.S. has ""failed to contain"" monkeypox 06:57 Health officials around the world are racing to curb an outbreak of monkeypox cases that has swelled into the thousands, deploying both vaccines and treatments for a disease that can lead to...",True
10.1016/j.antiviral.2019.06.005,61889210,news,"SIGA Technologies: Impressive Net Sales Guidance, FDA Approval, And Cheap",http://ct.moreover.com/?a=52377806311&p=1pl&v=1&x=hb549dgr7z6htrajnmc6dw,20/11/2023,Summary SIGA Technologies delivered impressive net sales expectations for Q4 and is working to expand its treatment of human smallpox in new jurisdictions.,True
10.1016/j.antiviral.2019.06.005,61889210,policy,"Clinical use of Tecovirimat (Tpoxx) for treatment of monkeypox under an investigational new drug protocol — United States, May–August 2022",https://stacks.cdc.gov/view/cdc/121112/cdc_121112_ds1.pdf,09/09/2022,,True
10.1016/j.antiviral.2019.06.005,61889210,guideline,"Centers for Disease Control and Prevention, the National Institutes of Health, the HIV Medicine Association",https://clinicalinfo.hiv.gov/sites/default/files/guidelines/documents/adult-adolescent-oi/guidelines-adult-adolescent-oi.pdf,16/07/2021,,True
10.1007/978-94-024-2086-9,113302929,policy,Laboratory biosecurity guidance,https://iris.who.int/bitstream/10665/377754/1/9789240095113-eng.pdf,21/06/2024,,True
10.1007/978-94-024-2086-9,113302929,policy,Navigating New Horizons: A global foresight report on planetary health and human wellbeing,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/45890/3/navigating_new_horizons.pdf,09/07/2024,,True
10.1007/978-94-024-2086-9,113302929,policy,Navigating Cyber Resilience in the Age of Emerging Technologies: Collaborative Solutions for Complex Challenges,https://www3.weforum.org/docs/wef_navigating_cyber_resilience_in_the_age_of_emerging_technologies_2024.pdf,15/10/2024,,True
10.1371/journal.ppat.1007019,49227395,blogs,Scientists Are Cloning the Coronavirus Like Crazy. Here’s Why—and the Risks,https://singularityhub.com/2020/05/19/cloning-the-coronavirus-could-mean-a-faster-cure-lets-talk-about-the-risks,19/05/2020,"Most biomedical researchers are busy finding ways to squash the new coronavirus. Meanwhile, synthetic biologists are busy cloning it in droves. In late February a team from the University of Bern, led by Dr. Volker Thiel, published a relatively simple rec...",True
10.1371/journal.ppat.1007019,49227395,blogs,https://singularityhub.com/2020/05/19/cloning-the-coronavirus-could-mean-a-faster-cure-lets-talk-about-the-risks/,https://brucelandonblog.wordpress.com/2020/05/19/https-singularityhub-com-2020-05-19-cloning-the-coronavirus-could-mean-a-faster-cure-lets-talk-about-the-risks,19/05/2020,"Scientists Are Cloning the Coronavirus Like Crazy. Here’s Why—and the Risks   By Shelly Fan  &#8211;  May 19, 2020               Most biomedical researchers are busy finding ways to squash the new coronavirus. Meanwhile, synthetic biologists are busy clon...",True
10.1371/journal.ppat.1007019,49227395,news,"Scientists Are Getting Seriously Worried About Synthetic Smallpox, And We Need to Keep Alert",http://www.sciencealert.com/here-s-why-scientists-are-suddenly-seriously-worried-about-smallpox,10/10/2018,"Earlier this year, scientists published a paper describing how they pieced together segments of DNA in order to bring back a previously eradicated virus called horsepox.",True
10.1371/journal.ppat.1007019,49227395,news,Scientists Freak Out Over Pandemic Potential of Genetically Engineered Smallpox - Global ResearchGlobal Research,https://www.globalresearch.ca/scientists-freak-out-over-pandemic-potential-of-genetically-engineered-smallpox/5657061,15/10/2018,"Following the release of a paper earlier this year which describes how researchers stitched together segments of DNA in order to revive horsepox – a previously eradicated virus, scientists have been flipping out over the possibility that bad actors...",True
10.1016/j.vaccine.2021.10.081,117993061,policy,"Weekly Epidemiological Record, 2024, vol. 99, 34 [‎full issue]‎",https://iris.who.int/bitstream/10665/378522/1/wer9934-eng-fre.pdf,23/08/2024,,True
10.1371/journal.ppat.1007025,49227393,news,A Controversial Virus Study Reveals a Critical Flaw in How Science Is Done,https://www.theatlantic.com/science/archive/2018/10/horsepox-smallpox-virus-science-ethics-debate/572200,04/10/2018,"Last year, the world learned that researchers led by David Evans from the University of Alberta had resurrected a virus called horsepox.",True
10.1371/journal.ppat.1007025,49227393,news,"Scientists Are Getting Seriously Worried About Synthetic Smallpox, And We Need to Keep Alert",http://www.sciencealert.com/here-s-why-scientists-are-suddenly-seriously-worried-about-smallpox,10/10/2018,"Earlier this year, scientists published a paper describing how they pieced together segments of DNA in order to bring back a previously eradicated virus called horsepox.",True
10.1371/journal.ppat.1007025,49227393,news,Scientists Freak Out Over Pandemic Potential of Genetically Engineered Smallpox - Global ResearchGlobal Research,https://www.globalresearch.ca/scientists-freak-out-over-pandemic-potential-of-genetically-engineered-smallpox/5657061,15/10/2018,"Following the release of a paper earlier this year which describes how researchers stitched together segments of DNA in order to revive horsepox – a previously eradicated virus, scientists have been flipping out over the possibility that bad actors...",True
10.1371/journal.ppat.1007025,49227393,news,Meeting a viral challenge,https://www.cheminst.ca/magazine/article/meeting-a-viral-challenge,15/06/2020,"Credit: HFCM Communicatie Laboratories around the world are racing to understand COVID-19, the potentially lethal virus that has upended everything from our personal lifestyles to the underpinnings of the global economy.",True
10.1371/journal.ppat.1007025,49227393,news,Facing the future of bioterrorism,https://www.atlanticcouncil.org/commentary/article/facing-the-future-of-bioterrorism,07/09/2021,"Article by Barry Pavel and Vikram Venkatram Related Experts: Barry Pavel, Security & Defense Terrorism Biotechnology has developed at an astounding rate over the first twenty years of the twenty-first century.",True
10.1371/journal.ppat.1007025,49227393,news,"Mpox Outbreak Was Wake-Up Call for Smallpox Preparation, Vaccine Maker Bavarian Nordic Says",https://www.nbclosangeles.com/news/business/money-report/mpox-outbreak-was-wake-up-call-for-smallpox-preparation-vaccine-maker-bavarian-nordic-says/3141438,25/04/2023,"Bavarian Nordic is planning to dramatically scale up production capacity for its Jynneos vaccine in the event of a smallpox emergency, CEO Paul Chaplin said.",True
10.1371/journal.ppat.1007025,49227393,news,Mpox outbreak was wake-up call about need to prep for smallpox: vaccine maker,https://www.cnbc.com/2023/04/25/mpox-shows-smallpox-risk-vaccine-maker-bavarian-nordic-says.html,25/04/2023,"Bavarian Nordic is planning to dramatically scale up production capacity for its Jynneos vaccine in the event of a smallpox emergency, CEO Paul Chaplin said.",True
10.1371/journal.ppat.1007025,49227393,news,"Mpox outbreak was wake-up call for smallpox preparation, vaccine maker Bavarian Nordic says - News Azi",https://newsazi.com/mpox-outbreak-was-wake-up-call-for-smallpox-preparation-vaccine-maker-bavarian-nordic-says,25/04/2023,"A health care worker prepares a dose of the JYNNEOS Monkeypox vaccine at a pop-up vaccination clinic in Los Angeles, California, on August 9, 2022.",True
10.1371/journal.ppat.1007025,49227393,news,"Mpox shows smallpox risk, vaccine maker Bavarian Nordic says - galaxyconcerns",https://galaxyconcerns.com/mpox-shows-smallpox-risk-vaccine-maker-bavarian-nordic-says,25/04/2023,"A health care worker prepares a dose of the JYNNEOS Monkeypox vaccine at a pop-up vaccination clinic in Los Angeles, California, on August 9, 2022.",True
10.1371/journal.ppat.1007025,49227393,news,"AskByGeeks | Mpox shows smallpox risk, vaccine maker Bavaria Nordic says",https://askbygeeks.com/covid19/521347,25/04/2023,"A health care worker prepares a dose of the JYNNEOS monkeypox vaccine at a makeshift vaccination clinic on August 9, 2022 in Los Angeles, California.",True
10.1371/journal.ppat.1007025,49227393,news,"Mpox exhibits smallpox threat, vaccine maker Bavarian Nordic says – Information by Automobilnews.eu",https://automobilnews.eu/mpox-shows-smallpox-risk-vaccine-maker-bavarian-nordic-says-news-by-automobilnews-eu,26/04/2023,"A well being care employee prepares a dose of the JYNNEOS Monkeypox vaccine at a pop-up vaccination clinic in Los Angeles, California, on August 9, 2022.",True
