first_order_doi,altmetric_id,source_type,title,unique_identifier,posted_on,summary,lang_checked
10.1101/2023.12.29.573498,157878477,news,Generation and characterization of neutralizing antibodies against M1R and B6R proteins of monkeypox virus – RawNews,https://rawnews.com/generation-and-characterization-of-neutralizing-antibodies-against-m1r-and-b6r-proteins-of-monkeypox-virus,01/04/2025,"Isolation and characterization of antibodies targeting MPXV M1R and B6R In this study, we employed phage surface display technology to identify a diverse and extensive array of antibodies targeting M1R and B6R proteins on the surface of MPXV (Fig.",True
10.1016/j.cmi.2024.02.011,159981128,news,Moderna’s First mRNA Mpox Vaccine Beats Licensed Rival Shots In Early Testing,http://ct.moreover.com/?a=54703210929&p=1pl&v=1&x=95mfo4hslcuq7uie2pzojw,04/09/2024,"Topline The first mRNA mpox vaccine to be pitted against licensed vaccines beat its rivals by easing symptoms and potentially cutting transmission, according to new research published Tuesday, a coup for manufacturer Moderna as it strives to prove...",True
10.1101/2023.03.23.533943,144257660,patent,METHODS FOR TREATING MONKEYPOX INFECTIONS,https://app.dimensions.ai/details/patent/wo-2023235467-a1,07/12/2023,"The present disclosure relates to methods for treating monkeypox infections. An exemplary method includes administering to a patient a therapeutically effective amount of a compound selected from adefovir, tenofovir, adefovir dipivoxil, tenofovir disopr...",True
10.37201/req/059.2022,130689443,blogs,Vaccination against smallpox efficiently protects against monkeypox infection,https://www.news-medical.net/news/20220706/vaccination-against-smallpox-efficiently-protects-against-monkeypox-infection.aspx,06/07/2022,"In a new study, researchers assessed the existing information regarding monkeypox infections.",True
10.1038/s41392-022-01215-4,137957532,policy,Risk assessment of mpox resurgence and vaccination considerations,https://stacks.cdc.gov/view/cdc/129046/cdc_129046_ds1.pdf,04/04/2023,,True
10.1038/s41392-022-01215-4,137957532,policy,Risk assessment of mpox resurgence and vaccination considerations,https://stacks.cdc.gov/view/cdc/126374/cdc_126374_ds1.pdf,30/03/2023,,True
10.3389/fbioe.2023.1292029,155698096,blogs,The Psychology of DIY Biohacking,https://www.psychologytoday.com/us/blog/the-future-of-intimacy/202505/the-psychology-of-diy-biohacking,14/05/2025,DIY biohacking puts our future in everyone’s hands. How much do you trust your neighbor with yours?,True
10.3389/fbioe.2023.1292029,155698096,news,The Psychology of DIY Biohacking,http://ct.moreover.com/?a=56737086544&p=1pl&v=1&x=1ci4jtwyualyf4ajg3jv1g,14/05/2025,"The do-it-yourself (DIY) biohack movement is here, and it’s turning science into a communal experiment.",True
10.1177/1535676018778538,44024203,policy,Joint external evaluation of the International Health Regulations (‎2005)‎ in the WHO European Region: a summary analysis –Évaluation externe conjointe du Règlement sanitaire international (‎2005)‎ dans la Région européenne de l’OMS: analyse récapitulative,https://apps.who.int/iris/bitstream/handle/10665/345630/wer27september2021-xxxi-xxxv-eng-fre.pdf?sequence=1&isallowed=y,27/09/2021,,True
10.1177/1535676018778538,44024203,policy,"Weekly Epidemiological Record, 2021, vol. 96 [‎special issue]‎",https://apps.who.int/iris/bitstream/handle/10665/345531/wer27september2021-specialissue-eng-fre.pdf?sequence=1&isallowed=y,27/09/2021,,True
10.2196/26109,106395070,news,New AI fear: Making it easy for anyone to mint dangerous new viruses,https://www.msn.com/en-us/news/technology/new-ai-fear-making-it-easy-for-anyone-to-mint-dangerous-new-viruses/ar-aa1ccvq6?ocid=peregrine,16/06/2023,Researchers are finding new ways for AI to be weaponized against us — and bioterrorism enabled by AI tops the list.,True
10.1038/s41467-022-33661-7,137957154,blogs,Synthetic Biology in the Real World: Index #74,https://www.codonmag.com/p/biosensors-water,07/11/2022,"I&#8217;m out on vacation this week, so no newsletter next Monday. Thanks for reading!Bacteria are powerful, little machines. They&#8217;ve been engineered to detect environmental contaminants, spot inflammatory signals inside the body, and &#8216;sniff...",True
10.1038/s41467-022-33661-7,137957154,blogs,Synthetic Biology in the Real World: Index #74,https://cell.substack.com/p/biosensors-water,07/11/2022,"I&#8217;m out on vacation this week, so no newsletter next Monday. Thanks for reading!Bacteria are powerful, little machines. They&#8217;ve been engineered to detect environmental contaminants, spot inflammatory signals inside the body, and &#8216;sniff...",True
