id,doi,title,publication_date
https://openalex.org/w2158112812,10.1126/science.1213362,Airborne Transmission of Influenza A/H5N1 Virus Between Ferrets,2012-06-21
https://openalex.org/w2112170460,10.1038/nature10831,Experimental adaptation of an influenza H5 HA confers respiratory droplet transmission to a reassortant H5 HA/H1N1 virus in ferrets,2012-05-01
https://openalex.org/w2782702360,10.1371/journal.pone.0188453,Construction of an infectious horsepox virus vaccine from chemically synthesized DNA fragments,2018-01-19
https://openalex.org/w2043170430,10.1126/science.1072266,Chemical Synthesis of Poliovirus cDNA: Generation of Infectious Virus in the Absence of Natural Template,2002-08-09
https://openalex.org/w2155996896,10.1128/jvi.75.3.1205-1210.2001,Expression of Mouse Interleukin-4 by a Recombinant Ectromelia Virus Suppresses Cytolytic Lymphocyte Responses and Overcomes Genetic Resistance to Mousepox,2001-02-01
