altmetric_id,core_doi,source_type,title,unique_identifier,posted_on,summary,lang_checked
721885,10.1038/nature10831,blogs,Research finally published showing how bird flu virus can spread among mammals,http://arstechnica.com/science/news/2012/05/research-finally-published-showing-how-bird-flu-virus-can-spread-among-mammals.ars?utm_source=rss&utm_medium=rss&utm_campaign=rss,02/05/2012,"For years, public health officials have been watching the H5N1 bird flu virus warily.  When it hops from birds to people, it has a disturbing tendency to kill them.  So far, however, it has been unable to spread from person to person, which has kept the...",True
721885,10.1038/nature10831,blogs,Behold The Forbidden Flu: A Loom Explainer | The Loom,http://blogs.discovermagazine.com/loom/2012/05/02/behold-the-forbidden-flu-a-loom-explainer/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+discovertopstories+%28discover+top+stories%29,02/05/2012,"Here, for your viewing pleasure, is a very important part of a very special flu virus. It may look like an ordinary protein, but in fact it&#8217;s been at the center of a blazing debate about whether our increasing power to experiment on life could lea...",True
721885,10.1038/nature10831,blogs,"Mutant flu paper is finally published, reveals pandemic potential of wild viruses | Not Exactly Rocket Science",http://blogs.discovermagazine.com/notrocketscience/2012/05/02/mutant-flu-kawaoka-paper/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+discovertopstories+%28discover+top+stories%29,02/05/2012,"It’s finally out. After months of will-they-won’t they and should-they-shouldn’t-they deliberations, Nature has finally published a paper about a mutant strain of bird flu that can spread between mammals. The strain was produced by Yoshihiro Kawaoka from ...",True
721885,10.1038/nature10831,blogs,Kawaoka paper published on aerosol transmission of H5 influenza virus in ferrets,http://www.virology.ws/2012/05/02/kawaoka-paper-published-on-aerosol-transmission-of-h5-influenza-virus-in-ferrets/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+virologyblog+%28virology+blog%29,02/05/2012,"One of two papers on avian influenza H5N1 virus that caused such a furor in the past six months was published today in the journal Nature. I have read it, and I can assure you that the results do not enable the construction of a deadly biological weapon. ...",True
721885,10.1038/nature10831,blogs,High-risk research can’t be kept secret forever,http://blog.joerg.heber.name/2012/05/03/high-risk-research-cant-be-kept-secret-forever,03/05/2012,"Should scientific journals publish high-risk scientific research that could in the wrong hands be disastrous for us all? Although it might be sensible to keep certain results secret for a while, I argue that eventually it does not make sense to withhold r...",True
721885,10.1038/nature10831,blogs,Bird Flu Apocalypse:  A How-To Guide,http://alfin2100.blogspot.com/2012/05/bird-flu-apocalypse-how-to-guide.html,03/05/2012,"On one side of the world, bird flu claims the life of an Indonesian infant.  On the other side of the world, the scientific journal Nature publishes research explaining how to modify H5/N1 flu viruses in ways that may eventually facilitate human to huma...",True
721885,10.1038/nature10831,blogs,Five Mutations Make H5N1 Airborne,http://the-scientist.com/2012/06/21/five-mutations-make-h5n1-airborne,21/06/2012,"After more than 6 months of heated discussion, the second group that succeeded in making the H5N1 avian flu transmissible between ferrets, considered a good model for human transmission, has published its results. The paper, which came out today (June 21)...",True
721885,10.1038/nature10831,blogs,High-risk research can’t be kept secret forever,http://allthatmatters.heber.org/2012/05/03/high-risk-research-cant-be-kept-secret-forever,03/05/2012,"Should scientific journals publish high-risk scientific research that could in the wrong hands be disastrous for us all? Although it might be sensible to keep certain results secret for a while, I argue that eventually it does not make sense to withhold r...",True
721885,10.1038/nature10831,blogs,9 Ways Humanity Could Bring About Our Own Destruction,http://io9.com/5967660/9-ways-humanity-could-bring-about-our-own-destruction,12/12/2012,"It won't be because of a Maya prophesy, but humanity may actually meet its doom someday. There is no shortage of threats from the natural world, including asteroid impacts and the eruption of supervolcanoes. But who needs natural disasters when you've g...",True
721885,10.1038/nature10831,blogs,What Science Should We Fund? Questioning New Policy on H5N1 Gain-of-Function Research,http://rss.sciam.com/click.phdo?i=83e09f827ca8bc1afd991bc72025a1e5,15/01/2013,"Terrence Tumpey, whose team reconstructed the extinct 1918 “Spanish Flu” virus. Cutting edge influenza research has generated controversy, with some claiming that the benefits of creating new (or resurrecting old) viruses are outweighed by the risks of an...",True
721885,10.1038/nature10831,blogs,EDITORIAL: A long pause,http://feeds.nature.com/~r/nm/rss/spoonful_of_medicine/~3/mcdqyqqzua0/a-long-pause.html,24/01/2013,"A version of this editorial appears in the February 2013 issue of Nature Medicine. Last January, scientists voluntarily imposed a pause on research that could lead to the generation of highly pathogenic avian influenza viruses with increased transmissibil...",True
721885,10.1038/nature10831,blogs,Why Nature Published the Controversial Mutant Bird-Flu Paper,http://rss.sciam.com/click.phdo?i=e62872e98c810e4725170eb57a8ed9db,03/05/2012,"Nature Volume 485 Number 7396 pp5-142            The following is an editorial from Nature magazine, reposted here with permission. It was originally posted May 2 with the title, “Publishing risky research.” This week sees the online publication of the pa...",True
721885,10.1038/nature10831,blogs,Nature publishes first of the ‘weaponised’ flu papers,http://sciblogs.co.nz/infectious-thoughts/2012/05/04/nature-publishes-first-of-the-weaponised-flu-papers,04/05/2012,"And it’s Open Access!  Late last year it was revealed that 2 papers submitted to the journals Science and Nature had been sent to the National Science Advisory Board for Biosecurity (NSABB), an American committee charged with providing guidance on the pot...",True
721885,10.1038/nature10831,blogs,Nature Publishes The Kawaoka H5N1 Study,http://afludiary.blogspot.com/2016/07/july-tropical-climatology.html,02/05/2012,BSL-4 Lab Worker - Photo Credit –USAMRIID      # 6312        Although it was Ron Fouchier’s announcement last September (see New Scientist: Five Easy Mutations) of his successful manipulation of the H5N1 virus to make it transmissible among ferrets that s...,True
721885,10.1038/nature10831,blogs,TWiV 182: One flu over the ferrets' nest,http://www.twiv.tv/2012/05/06/twiv-182-one-flu-over-the-ferrets-nest/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+twivmp3+%28this+week+in+virology+-+mp3+edition%29,06/05/2012,"Hosts:&nbsp;Vincent Racaniello,&nbsp;Rich Condit,&nbsp;Alan Dove, and&nbsp;Michael J. Imperiale Michael joins the TWiV crew to discuss the recently published influenza H5N1 transmission paper and how it was viewed by the NSABB. Links for this episode: A...",True
721885,10.1038/nature10831,blogs,Evo in the news update: Evolution and the avian flu,http://evolution.berkeley.edu/evolibrary/news/051115_birdflu,07/06/2012,"The warnings are dire. The economic cost for developed countries alone is estimated at 550 billion dollars, and the projected worldwide death toll ranges between 2 million and 150 million people. The very real specter behind these warnings is, of course...",True
721885,10.1038/nature10831,blogs,Science and the Flu: A Little Learning Is A Dangerous Thing,http://science.kqed.org/quest/2012/09/25/science-and-the-flu-a-little-learning-is-a-dangerous-thing/?utm_source=rss&utm_medium=rss&utm_campaign=science-and-the-flu-a-little-learning-is-a-dangerous-thing,25/09/2012,"Bernt Notke&#39;s Danse Macabre The first sniffles of flu season are upon us: a friend of mine was struck down, and couldn't join me in attending a science dialogue on Sunday night. This was darkly humorous, as the topic of the evening was pandemics. Prov...",True
721885,10.1038/nature10831,blogs,A ‘Kill Switch’ For H7N9 and H5N1 ‘Gain-Of Function’ Influenza Viruses,http://www.scilogs.com/thats_basic_science/a-kill-switch-for-h7n9-and-h5n1-gain-of-function-influenza-viruses/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=a-kill-switch-for-h7n9-and-h5n1-gain-of-function-influenza-viruses,11/08/2013,&nbsp;A report in Nature Biotechnology highlights a simple way to control gain-of-function flu viruses.Influenza A (H7N9) as viewed through an electron microscope. Both filaments and spheres are observed in this photo. (Credit: The U.S. Centers for Dise...,True
