unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
federalpublicservicesbe-00e419bd77041b96c383f7d5968a364a,Vaccination Strategy Against Monkeypox Virus,Publication,2022-06-23,https://www.health.belgium.be/sites/default/files/uploads/fields/fpshealth_theme_file/20220621_hgr_9720_vaccinatiestrategie_apenpokken_vweb.pdf,,"Vaccine, Vaccination, Immune system",dut,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology",10.1056/nejmoa1817307
paho-e48a29d8b779648363e96128fcf6ee80,"VIII Ad Hoc Meeting of the PAHO Technical Advisory Group (TAG) on Vaccine Preventable Diseases. Technical report on the monkeypox outbreak in several countries, May 31, 2022 (virtual)",Publication,2022-06-22,https://iris.paho.org/handle/10665.2/56116,,"Smallpox, Vaccine, Vaccinia",spa,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology",10.1056/nejmoa1817307
federalpublicservicesbe-4e29120e1bde1e61c580d2db0a8e205b,Superior Health Council,Publication,2022-06-22,https://www.health.belgium.be/sites/default/files/uploads/fields/fpshealth_theme_file/20220621_shc_9720_monkeypox_vaccination_vweb.pdf,,"Smallpox vaccine, Smallpox, ACAM2000",eng,"health>diseases and conditions, health>diseases and conditions>illness, health",10.1056/nejmoa1817307
govuk-d49e8a3a4bc6ec1c0c2b0bf6fab96eab,"Smallpox and monkeypox: the green book, chapter 29",Publication,2022-06-21,https://www.gov.uk/government/publications/smallpox-and-vaccinia-the-green-book-chapter-29,,"Monkeypox, Smallpox, Vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
who-7f8079d00958ba48512b90ab3979ce25,"Vaccines and immunization for monkeypox: interim guidance, 14 June 2022",Publication,2022-06-14,https://apps.who.int/iris/handle/10665/356120,,"Monkeypox, Vaccine, Post-exposure prophylaxis",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
paho-d4b0c5fda95b4150995904f7b8aefc03,"VIII Ad Hoc Meeting of PAHO’s Technical Advisory Group (TAG) On Vaccine-Preventable Diseases: Technical Briefing on the Multi-Country Monkeypox Outbreak, 31 May 2022 (virtual)",Publication,2022-06-10,https://iris.paho.org/handle/10665.2/56083,,"Smallpox vaccine, Mpox, Orthopoxvirus",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
governmentofcanada-0c2a57b2b373746f9dc80fe415a79c58,NACI rapid response - interim guidance on the use of Imvamune® in the context of monkeypox outbreaks in Canada.: HP5-137/2022E-PDF ; HP5-137/1-2022E-PDF Publications - Canada.ca,Publication,2022-06-01,http://publications.gc.ca/site/eng/9.911967/publication.html,,"Smallpox vaccine, Monkeypox, Post-exposure prophylaxis",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
cdc-66d202b2f7262c909391ffc97bf61283,"Use of JYNNEOS (smallpox and monkeypox vaccine, live, nonreplicating) for preexposure vaccination of persons at risk for occupational exposure to orthopoxviruses : recommendations of the Advisory Committee on Immunization Practices — United States, 2022",Clinical guidance,2022-05-27,https://stacks.cdc.gov/view/cdc/117874,,"Orthopoxvirus, Vaccinia, Vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
govuk-90a8ce309721fb943358153d4ea2b805,Monkeypox vaccination,Publication,2022-05-21,https://www.gov.uk/government/publications/monkeypox-vaccination,,"Monkeypox, Smallpox vaccine, Vaccine",eng,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1056/nejmoa1817307
paho-6d1cdbdd7e99dfdee8874fe5e4a337e6,"VIII ad hoc meeting of the PAHO Technical Advisory Group (TAG) on Vaccine Preventable Diseases. Technical briefing on the multi-country monkeypox outbreak, May 31, 2022 (virtual)",Publication,2022-01-01,https://iris.paho.org/handle/10665.2/56117,,"Smallpox, Vaccine, Mpox",fre,"health, health>diseases and conditions, health>diseases and conditions>illness",10.1056/nejmoa1817307
paho-7990e1485ed745248e6b48e7db411c98,"VIII Ad Hoc Meeting of the PAHO Technical Advisory Group (GTA) on Vaccine-Preventable Diseases. Technical report on the monkeypox outbreak in several countries, May 31, 2022 (virtual)",Publication,2022-01-01,https://iris.paho.org/handle/10665.2/56107,,"Health care, Diseases and disorders, Epidemiology",por,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health, health>diseases and conditions, health>diseases and conditions>illness, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
paho-eeaea05565b4fa44e8b62df92fb0be93,VIII Ad Hoc Meeting of PAHO’s Technical Advisory Group (TAG) on Vaccine-Preventable Diseases. Technical Briefing on the Multi-Country Monkeypox Outbreak: Recommendations on Monkeypox Vaccines and Vaccination,Publication,2022-01-01,https://iris.paho.org/handle/10665.2/56102,,"Health sciences, Smallpox vaccine, Mpox",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
who-23f45860c7795d4510610d3b1cbc5339,"WHO advisory committee on variola virus research: report of the twenty-second meeting, Geneva, 4-5 November 2020",Publication,2021-05-07,https://apps.who.int/iris/handle/10665/341197,,"Polymerase chain reaction, Orthopoxvirus, Smallpox",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1056/nejmoa1817307
cdc-43a3734e149b9612cf1c0613595d41da,Risk assessment of mpox resurgence and vaccination considerations,Clinical guidance,2023-04-04,https://stacks.cdc.gov/view/cdc/129046,,"Vaccination, Mpox, Monkeypox virus",eng,"health>health treatment, health>health treatment>preventative medicine, health>diseases and conditions, health, science and technology, health>health treatment>preventative medicine>vaccines",10.1038/s41392-022-01215-4
cdc-fdf59c7fa0eebd1971a2336703b220ce,Risk assessment of mpox resurgence and vaccination considerations,Clinical guidance,2023-03-30,https://stacks.cdc.gov/view/cdc/126374,,"Health, Clinical medicine, Infectious diseases",eng,"health>health treatment, health>health treatment>preventative medicine, health>diseases and conditions, health, science and technology, health>health treatment>preventative medicine>vaccines",10.1038/s41392-022-01215-4
who-773da21b56008be31557e55163f88361,"Clinical Management and Prevention and Control of Monkeypox Infection: Interim Rapid Response Guidance, June 10, 2022",Publication,2022-10-18,https://apps.who.int/iris/handle/10665/363612,,"Childbirth, Breastfeeding, Depression (mood)",spa,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1080/14787210.2020.1819791
cadth-f79856adec32b2016108d945430eac98,Tecovirimat for the Treatment of Human Monkeypox,Clinical guidance,2022-09-28,https://www.cda-amc.ca/tecovirimat-treatment-human-monkeypox,,"Monkeypox, Post-exposure prophylaxis, Immunodeficiency",eng,"health, science and technology, science and technology>biomedical science, health>diseases and conditions, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology",10.1080/14787210.2020.1819791
who-b13887a6762cc906832434df001b392c,"Clinical management, prevention and control of monkeypox (‎monkey pox)‎: interim guidance for rapid response, 10 June 2022",Publication,2022-07-26,https://apps.who.int/iris/handle/10665/360839,,"Monkeypox, Childbirth, Pregnancy",fre,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1080/14787210.2020.1819791
deptofhealthau-1953392eca58d289d9fe056d4537dfee,Monkeypox treatment guidelines,Publication,2022-06-24,https://www.health.gov.au/resources/publications/monkeypox-treatment-guidelines?language=en,,"Monkeypox, Post-exposure prophylaxis, Tecovirimat",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, health>diseases and conditions, science and technology>biomedical science>pharmacology, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1080/14787210.2020.1819791
who-e5e263194640c5e48b82d8fe4dca7022,"Clinical management and infection prevention and control for monkeypox: interim rapid response guidance, 10 June 2022",Publication,2022-06-10,https://apps.who.int/iris/handle/10665/355798,,"Airborne transmission, Transmission (medicine), Transmission-based precautions",eng,"health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease",10.1080/14787210.2020.1819791
who-773da21b56008be31557e55163f88361,"Clinical Management and Prevention and Control of Monkeypox Infection: Interim Rapid Response Guidance, June 10, 2022",Publication,2022-10-18,https://apps.who.int/iris/handle/10665/363612,,"Childbirth, Breastfeeding, Depression (mood)",spa,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1128/msphere.00927-20
who-b13887a6762cc906832434df001b392c,"Clinical management, prevention and control of monkeypox (‎monkey pox)‎: interim guidance for rapid response, 10 June 2022",Publication,2022-07-26,https://apps.who.int/iris/handle/10665/360839,,"Respirator, Breastfeeding, Infection prevention and control",fre,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1128/msphere.00927-20
who-e5e263194640c5e48b82d8fe4dca7022,"Clinical management and infection prevention and control for monkeypox: interim rapid response guidance, 10 June 2022",Publication,2022-06-10,https://apps.who.int/iris/handle/10665/355798,,"Airborne transmission, Microbiology, Diseases and disorders",eng,"health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease",10.1128/msphere.00927-20
foise-eaa9eaeac67bb91f1559e7e3304ff079,"Antivirals - history, right now and future outlook",Publication,2024-06-12,https://www.foi.se/rapporter/rapportsammanfattning.html?reportNo=FOI%20Memo%208539,,"Virus, Gene, Vaccination",swe,"health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics, health>diseases and conditions",10.1021/acs.jmedchem.3c00069
cdc-17c32ef690875db4fea1b95b0adc6498,"Clinical use of Tecovirimat (Tpoxx) for treatment of monkeypox under an investigational new drug protocol — United States, May–August 2022",Clinical guidance,2022-09-09,https://stacks.cdc.gov/view/cdc/121112,,"Epidemiology, Smallpox, Tecovirimat",eng,"health>diseases and conditions>illness, health>diseases and conditions, health, science and technology",10.1016/j.antiviral.2019.06.005
cdc-11440a5a1f92988bf9df3df171003b82,"Monkeypox Outbreak — Nine States, May 2022",Clinical guidance,2022-06-03,https://stacks.cdc.gov/view/cdc/118016,,"Chickenpox, Infection, Post-exposure prophylaxis",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1016/j.antiviral.2019.06.005
randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","Base pair, Authenticator, Gene",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",10.1016/j.isci.2023.106165
secureworldfoundation-766094206ca289f1ab6b8766691472fd,Future Warfare and Critical Technologies: Evolving Tactics and Strategies,Publication,2024-02-09,https://swfound.org/media/207797/future-warfare-and-critical-technologies_feb-2024.pdf,,"Unmanned aerial vehicle, Cyberwarfare, Augmented reality",eng,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government, politics>government>defence, politics>government>defence>military equipment, conflicts, war and peace, conflicts, war and peace>armed conflict, economy, business and finance>economic sector>computing and information technology, politics>government>defence>military equipment>military weaponry, economy, business and finance>economic sector>computing and information technology>software, science and technology",10.1016/j.isci.2023.106165
oieint-8e4780726d4f86995c49ccc5e385b325,"Report of the Meeting of the WOAH Biological Standards Commission, February 2024",Publication,2024-03-01,https://doc.oie.int/dyn/portal/index.xhtml?page=alo&aloId=43838,,"Bovine viral diarrhea, Infectious diseases, Health sciences",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology",10.1111/tbed.13322
oieint-85557ccbfae34d612a19a80f4e0187db,"Report of the meeting of the WOAH Biological Standards Commission, September 2023",Publication,2023-10-01,https://doc.oie.int/dyn/portal/index.xhtml?page=alo&aloId=43549,,"Avian influenza, World Organisation for Animal Health, Influenza",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology",10.1111/tbed.13322
governmentofcanada-8c99a7e4424514eec320d2e5603e0173,Attenuated Cucumber green mottle mosaic virus strain ON-BM3; AI-Bio10 and Cuc-GUARD.: H113-9/2022-12E-PDF Publications - Canada.ca,Publication,2022-01-01,http://publications.gc.ca/site/eng/9.916601/publication.html,,"Pest Management Regulatory Agency, Pesticide, Toxicity",eng,"health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, science and technology, health, health>diseases and conditions, environment",10.1111/pbi.13084
inspq_canada-3778f82f2e20b834fde62cedd0ebb29a,Vaccination against monkeypox,Clinical guidance,2022-09-28,https://www.inspq.qc.ca/publications/2867,,"Vaccine, Smallpox, Mpox",fre,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.3390/vaccines8030396
governmentofcanada-0c2a57b2b373746f9dc80fe415a79c58,NACI rapid response - interim guidance on the use of Imvamune® in the context of monkeypox outbreaks in Canada.: HP5-137/2022E-PDF ; HP5-137/1-2022E-PDF Publications - Canada.ca,Publication,2022-06-01,http://publications.gc.ca/site/eng/9.911967/publication.html,,"Vaccinia, Monkeypox virus, Pre-exposure prophylaxis",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.3390/vaccines8030396
cdc-66d202b2f7262c909391ffc97bf61283,"Use of JYNNEOS (smallpox and monkeypox vaccine, live, nonreplicating) for preexposure vaccination of persons at risk for occupational exposure to orthopoxviruses : recommendations of the Advisory Committee on Immunization Practices — United States, 2022",Clinical guidance,2022-05-27,https://stacks.cdc.gov/view/cdc/117874,,"Orthopoxvirus, Vaccinia, Vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.3390/vaccines8030396
who-23f45860c7795d4510610d3b1cbc5339,"WHO advisory committee on variola virus research: report of the twenty-second meeting, Geneva, 4-5 November 2020",Publication,2021-05-07,https://apps.who.int/iris/handle/10665/341197,,"DNA sequencing, Orthopoxvirus, Smallpox",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.3390/vaccines8030396
deptofhealthau-0dbf67b6f3e5ae9001674a437409979f,ATAGI clinical guidance on vaccination against Monkeypox,Publication,2022-12-12,https://www.health.gov.au/resources/publications/atagi-clinical-guidance-on-vaccination-against-monkeypox?language=en,,"Monkeypox, Hypodermic needle, COVID-19 vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1016/j.vaccine.2020.08.050
phoca-e55040e9164206ac0d457547261c6f64,Monkeypox Vaccine,Clinical guidance,2022-09-28,https://www.publichealthontario.ca/-/media/Documents/M/2022/monkeypox-vaccine.pdf?rev=943f7313854a44d4a64a242e87d7a745&la=fr,,"Public health, Smallpox vaccine, Modified vaccinia Ankara",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1016/j.vaccine.2020.08.050
governmentofcanada-0c2a57b2b373746f9dc80fe415a79c58,NACI rapid response - interim guidance on the use of Imvamune® in the context of monkeypox outbreaks in Canada.: HP5-137/2022E-PDF ; HP5-137/1-2022E-PDF Publications - Canada.ca,Publication,2022-06-01,http://publications.gc.ca/site/eng/9.911967/publication.html,,"Smallpox vaccine, Monkeypox, Post-exposure prophylaxis",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1016/j.vaccine.2020.08.050
who-23f45860c7795d4510610d3b1cbc5339,"WHO advisory committee on variola virus research: report of the twenty-second meeting, Geneva, 4-5 November 2020",Publication,2021-05-07,https://apps.who.int/iris/handle/10665/341197,,"Smallpox, Health sciences, Health",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>biomedical science, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1016/j.vaccine.2020.08.050
centerforanewamericansecurity-d93b7075dac279ef9b6cd59def4ed416,"AI and the Evolution of Biological National Security Risks: Capabilities, Thresholds, and Interventions",Publication,2024-08-13,https://www.cnas.org/publications/reports/ai-and-the-evolution-of-biological-national-security-risks,,"Biological warfare, Artificial intelligence, Pandemic",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1093/nargab/lqab004
who-60a87a90cc18c7afad13d073db0f062e,Laboratory biosecurity guidance,Publication,2024-01-01,https://apps.who.int/iris/handle/10665/377754,1. Headquarters,"Gain-of-function research, Dangerous goods, Do-it-yourself biology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease",10.1080/10643389.2019.1579628
parliamentofaustria-792a1b3a05cdad1a220eb42d14d5dcb5,R&amp;TA monitoring for the Austrian Parliament,Publication,2022-11-21,https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/000_Bericht_gesamt_aktualisiert_November2022.pdf,,"Futures studies, Artificial intelligence, Privacy",ger,"economy, business and finance>economic sector, economy, business and finance, science and technology, economy, business and finance>economic sector>energy and resource",10.1080/10643389.2019.1579628
parliamentofaustria-eed8687cd0dc8654c5145a612d4fd03d,Artificial life,Publication,2022-11-20,https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/023_kuenstliches_leben.pdf,,"Genetics, Science, Branches of science",ger,"science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics, health",10.1080/10643389.2019.1579628
parliamentofaustria-bea0b827a76289340a199645a0f9ef33,R&amp;TA monitoring for the Austrian Parliament,Publication,2021-11-08,https://fachinfos.parlament.gv.at/wp-content/uploads/2021/11/000_Bericht_gesamt_aktualisiert_November2021_korr.pdf,,"Artificial intelligence, Sustainable Development Goals, Information privacy",ger,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government, economy, business and finance>economic sector>computing and information technology, science and technology, economy, business and finance>economy, economy, business and finance>economic sector>media, politics>government>parliament",10.1080/10643389.2019.1579628
parliamentofaustria-13d6115bb39af863ce2c4ed0209bcb5a,R&amp;TA monitoring for the Austrian Parliament,Publication,2021-05-17,https://fachinfos.parlament.gv.at/wp-content/uploads/2021/05/000_bericht_gesamt_aktualisiert_Mai2021.pdf,,"Nudge theory, Artificial intelligence, Dystopia",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology, politics>government, economy, business and finance>economic sector>computing and information technology, economy, business and finance>economy, politics",10.1080/10643389.2019.1579628
sipri-5142eadc728a5ed4685bfc213b2ff238,Emerging dual-use technologies in the life sciences: Challenges and policy recommendations on export control,Publication,2019-09-01,https://www.sipri.org/publications/2019/eu-non-proliferation-and-disarmament-papers/emerging-dual-use-technologies-life-sciences-challenges-and-policy-recommendations-export-control,,"Life sciences, European Commission, Technology",eng,"science and technology>natural science>biology, health>diseases and conditions>communicable disease, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science, science and technology>natural science>biology>genetics",10.1080/10643389.2019.1579628
ukparliament_select-817341d3d8cf2f6fdb53ea3f30e76614,American University of Sovereign Nations (ENB0010),Publication,2024-09-03,https://committees.parliament.uk/writtenevidence/130213/pdf/,"Engineering biology (Inquiry), Science and Technology Committee","Biotechnology, Biology, Education",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink, science and technology, economy, business and finance>economic sector>agriculture",10.1016/j.jobb.2022.02.002
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Biopreparat, Rickettsia, Bacteria",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",10.1373/clinchem.2016.266536
fao-626937fedbb8bd82fbaefb84733d9744,The impact of access and benefit-sharing measures on use and exchange of genetic resources for food and agriculture and associated traditional knowledge – draft report–,Publication,2025-01-01,https://openknowledge.fao.org/handle/20.500.14283/cd4590en,"2 - Совещания, value chains, Документы совещаний","Nagoya Protocol, Convention on Biological Diversity, High Seas Treaty",eng,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government policy, politics>government policy>regulatory of industry, science and technology>natural science, science and technology>natural science>biology, science and technology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>agriculture, politics>government policy>regulatory of industry>food and drink regulations",10.1126/science.abb9342
fao-37ab323b9ffbc2ed45a77e5467acf8ee,The impact of access and benefit-sharing measures on genetic resources for food and agriculture and associated traditional knowledge – Draft study –,Publication,2024-01-01,https://openknowledge.fao.org/handle/20.500.14283/cd3821en,"2 - Совещания, value chains, Документы совещаний","Nagoya Protocol, Convention on Biological Diversity, High Seas Treaty",eng,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government policy, politics>government policy>regulatory of industry, science and technology>natural science, science and technology>natural science>biology, science and technology, science and technology>natural science>biology>genetics, politics>government policy>regulatory of industry>food and drink regulations, economy, business and finance>economic sector>agriculture",10.1126/science.abb9342
interacademies-1cc3ff8684217f593a79e39cd2144877,Call for a Global Health Data Sharing Framework for Global Health Emergencies,Publication,2022-02-23,https://www.interacademies.org/publication/call-global-health-data-sharing-framework-global-health-emergencies,,"Convention on Biological Diversity, Governance, Nagoya Protocol",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>epidemic",10.1126/science.abb9342
gradinstitute-a8e9b02df5ed02c573e0ed1c9064043e,"Always fighting the last war ? Post-Ebola reforms, blindspots & gaps in COVID-19",Publication,2021-05-28,https://repository.graduateinstitute.ch/record/299174,,"World Health Organization, Coalition for Epidemic Preparedness Innovations, COVAX",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, politics",10.1126/science.abb9342
sipri-44d8d7d6f3035391226c131c5147a2c0,Biosecurity Risk Assessment in the Life Sciences: Towards a Toolkit for Individual Practitioners,Publication,2023-03-01,https://www.sipri.org/publications/2023/policy-reports/biosecurity-risk-assessment-life-sciences-towards-toolkit-individual-practitioners,,"Biosecurity, Risk, Biosafety",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology, science and technology>natural science>biology>genetics, health, society, health>diseases and conditions",10.1177/1535676018778538
10.2760/4814109,Does AI Increase the Operational Risk of Biological Attacks?,Publication,2024-01-25,https://www.rand.org/pubs/research_reports/RRA2977-2.html,"Acquisition and Technology Policy Program, RAND Global and Emerging Risks","Large language model, Artificial intelligence, Bubonic plague",eng,"science and technology>natural science, conflicts, war and peace, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, conflicts, war and peace>act of terror",10.1371/journal.ppat.1007025
randcorporation-85967031c893b929f3119863e8c61fd1,Syndromic Surveillance 2.0,Publication,2023-09-27,https://www.rand.org/pubs/research_reports/RRA1812-1.html,"Personnel, Training, and Health, RAND Army Research Division","Pandemic, Zoonosis, Epidemic",eng,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1371/journal.ppat.1007025
observerresearchfoundation-20f3040c64886cecb695ea97f97fd328,Innovation in Biotechnology: Ethical and Regulatory Challenges,Publication,2021-04-08,https://www.orfonline.org/research/innovation-in-biotechnology-ethical-and-regulatory-challenges,,"CRISPR gene editing, Synthetic biology, Biology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1371/journal.ppat.1007025
observerresearchfoundation-40ea3363ec3c8b94522a4117aa58990b,Innovation in Biotechnology: Ethical and Regulatory Challenges | ORF,Publication,2021-04-06,https://www.orfonline.org/research/innovation-in-biotechnology-ethical-and-regulatory-challenges/,,"CRISPR gene editing, Synthetic biology, Biology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1371/journal.ppat.1007025
govdeptsspain-5d7f68511846f95fece8442588ee15ce,IEEE Bulletin Number 17 2020,Publication,2020-06-30,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/en/catalogo_imagenes/grupo.do?path=207660,,"Influenza, Israel, Ebola",spa,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>epidemic, conflicts, war and peace, conflicts, war and peace>armed conflict",10.1371/journal.ppat.1007025
govdeptsspain-dcf6db1ec05a595dada4f4a1f9c7dea6,Pandemic emergencies,Publication,2020-04-22,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/es/catalogo_imagenes/grupo.do?path=207661,,"Goma, Ebola, Public Health Emergency of International Concern",spa,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1371/journal.ppat.1007025
