unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
10.19088/k4dd.2024.050,Mpox Health Evidence Summary No 8,Publication,2024-12-12,https://opendocs.ids.ac.uk/articles/report/Mpox_Health_Evidence_Summary_No_8/28060667,,"Mpox, Monkeypox virus, Orthopoxvirus",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, science and technology>natural science>biology>genetics",10.1007/978-1-0716-4160-6_1
10.2760/404140,Artificial intelligence for healthcare and well-being during exceptional times - Publications Office of the EU,Publication,2023-11-08,https://op.europa.eu/en/publication-detail/-/publication/00a224b5-7ec4-11ee-99ba-01aa75ed71a1/language-en/format-PDF,,"Autism spectrum, Health, Artificial intelligence",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology, science and technology>natural science>biology, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>computing and information technology, health",10.3390/ijerph19116739
unitednations-0aa30af442b2e0282fff1218838a4222,2022 Voluntary National Review of the Philippines : rekindling commitment and using innovation to accelerate recovery and ensure progress to achieve the SDGs in 2030 and our AmBisyon Natin 2040,Publication,2022-01-01,https://digitallibrary.un.org/record/3997799?ln=en,,"Economy, Health care, Poverty",eng,"education>school, education>school>higher education, education, health, health>diseases and conditions, science and technology",10.3389/fimmu.2019.00549
eurlex-394045df9d40788186386034c8449722,COMMISSION STAFF WORKING DOCUMENT IMPACT ASSESSMENT Accompanying the document Proposal for a COUNCIL REGULATION establishing the Joint Undertakings under Horizon Europe EU-Africa Global Health Partnership,Publication,2021-02-24,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CONSIL:ST_6446_2021_ADD_3&rid=8376,,"Framework Programmes for Research and Technological Development, Sustainable Development Goals, Clinical trial",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology",10.3389/fimmu.2019.00549
eurlex-4cf526f513049c0c65b5aac01a848e34,COMMISSION STAFF WORKING DOCUMENT IMPACT ASSESSMENT Accompanying the document Proposal for a COUNCIL REGULATION establishing the Joint Undertakings under Horizon Europe EU-Africa Global Health Partnership,Publication,2021-02-24,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=cellar:c37413ae-768e-11eb-9ac9-01aa75ed71a1,,"European Union, Framework Programmes for Research and Technological Development, Sustainable Development Goals",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology",10.3389/fimmu.2019.00549
europarl_debates-7af459ca4231b87c3020ff924a0015ba,COMMISSION STAFF WORKING DOCUMENT IMPACT ASSESSMENT Accompanying the document Proposal for a Council Regulation establishing the Joint Undertakings under Horizon Europe EU-Africa Global Health Partnership,Publication,2021-02-23,http://www.europarl.europa.eu/RegData/docs_autres_institutions/commission_europeenne/swd/2021/0037/COM_SWD(2021)0037_EN.pdf,,"European Union, Framework Programmes for Research and Technological Development, Clinical trial",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, science and technology, health",10.3389/fimmu.2019.00549
governmentofrwanda-9555dde888b9630e4d9d9c893ba27f41,Vol. 2 (4 ); December 2020,Publication,2021-02-01,https://rbc.gov.rw/publichealthbulletin/img/rphb_issues/RPHB%202%20(4)%20All%20articles%20V6.pdf,,"Variants of SARS-CoV-2, Coronavirus spike protein, SARS-CoV-2",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.3389/fimmu.2019.00549
unitednations-0c7400fb43b930ed8caf72397070fd71,Technical report :COVID-19 Pandemic /,Publication,2021-01-01,https://digitallibrary.un.org/record/4067972?ln=en,"COVID-19, DISASTER PREPAREDNESS, PANDEMICS","Health, World Health Organization, Deforestation",eng,"health>diseases and conditions, health, environment, health>diseases and conditions>illness",10.3389/fimmu.2019.00549
norweiganinstituteofpublichealth-32074c816791880968536cd497390026,Urbanization and preparedness for outbreaks with high-impact respiratory pathogens,Clinical guidance,2020-10-01,https://www.fhi.no/publ/2020/urbanization-and-preparedness-for-outbreaks-with-high-impact-respiratory-pa/,,"Health sciences, Public health, Medicine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>epidemic",10.3389/fimmu.2019.00549
publichealthscotland-4cab86b16001ffeb60f0d0c7bf5212c3,What are the impacts of past infectious disease outbreaks on non-communicable health outcomes? (1),Clinical guidance,2020-09-14,https://publichealthscotland.scot/publications/what-are-the-impacts-of-past-infectious-disease-outbreaks-on-non-communicable-health-outcomes-1/,,"Influenza A virus subtype H1N1, Quarantine, Influenza",eng,"health, health>diseases and conditions>illness, health>diseases and conditions, education",10.3389/fimmu.2019.00549
nber-9d9f611ab52e71b5a074b507c1a8a2d7,Modern Infectious Diseases: Macroeconomic Impacts and Policy Responses,Working paper,2020-08-27,https://www.nber.org/papers/w27757,,"Fiscal policy, Public health, Economy",eng,"economy, business and finance, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology, economy, business and finance>economy, science and technology>social sciences, health>diseases and conditions>communicable disease, health>diseases and conditions>illness",10.3389/fimmu.2019.00549
izade-651d4be06322845cb64242dac270bac9,Modern Infectious Diseases: Macroeconomic Impacts and Policy Responses,Working paper,2020-08-24,https://www.iza.org/publications/dp/13625/modern-infectious-diseases-macroeconomic-impacts-and-policy-responses,,"Poverty, Disease, Preventive healthcare",eng,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions>illness, science and technology>social sciences, health>diseases and conditions>communicable disease",10.3389/fimmu.2019.00549
randcorporation-878008c2f71bf5c848a6b506f7c7d9a4,How to Best Enable Pharma Innovation Beyond the COVID-19 Crisis,Publication,2020-05-26,https://www.rand.org/pubs/perspectives/PEA407-1.html,RAND Europe,"Medicine, Health sciences, Human activities",eng,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology, health>health treatment, health>diseases and conditions>communicable disease",10.3389/fimmu.2019.00549
izade-74f72a5ba38a9b28d60c6339869a009d,The Impact of Physician-Patient Gender Match on Healthcare Quality: An Experiment in China,Working paper,2025-05-07,https://www.iza.org/publications/dp/17894/the-impact-of-physician-patient-gender-match-on-healthcare-quality-an-experiment-in-china,,"Quinolone antibiotic, Levofloxacin, Coronary artery disease",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>chemicals, science and technology>biomedical science, science and technology>biomedical science>pharmacology, health>diseases and conditions, health, science and technology, economy, business and finance>economic sector>chemicals>pharmaceutical",10.1016/s0140-6736(18)33135-0
globalhealth5050-c22528a875c306a6ec51cf82886b8f2d,“Our program manager is a woman for the first time”: perceptions of health managers on workplace policies and practices in Kenya,Scholarly article,2024-07-30,https://globalhealth5050.org/wp-content/uploads/Our-Program-Manager-is-a-Woman-1.pdf,,"Parental leave, Woman, Breastfeeding",eng,"economy, business and finance, economy, business and finance>business information, labour, labour>employment, politics, science and technology, economy, business and finance>business information>human resources, education, health",10.1016/s0140-6736(18)33135-0
adminch-e7fdeb1ec88a828047e401c2200d7c43,Final report,Publication,2024-05-06,https://www.bag.admin.ch/dam/bag/de/dokumente/nat-gesundheitspolitik/gesundheitliche-chancengleichheit/240515_Forschungsbericht-Gesundheit%20der%20Frauen-Bessere%20Beruecksichtigung%20ihrer%20Eigenheiten.pdf.download.pdf/240515_Forschungsbericht-Gesundheit%20der%20Frauen-Bessere%20Beruecksichtigung%20ihrer%20Eigenheiten.pdf,,"Clinical trial, Research, Medical diagnosis",ger,"education, health, science and technology>research>medical research, science and technology, science and technology>research",10.1016/s0140-6736(18)33135-0
acmedsci-dccd9b14da9c2a47064b40c77c4a7766,Future-proofing UK Health Research - full report,Publication,2023-05-04,https://acmedsci.ac.uk/file-download/23875189,,"Research, Health, National Institute for Health and Care Research",eng,"health>health treatment, science and technology>research, health, education>school, science and technology, education, science and technology>research>medical research, health>health treatment>medicine",10.1016/s0140-6736(18)33135-0
stateofcatalunya-22931da55ffbb103804368f942cbb21b,Actions to raise awareness about the gender perspective in research content,Publication,2023-02-03,https://aquas.gencat.cat/web/.content/minisite/aquas/publicacions/2023/accions_sensibilitzacio_perspectiva_genere_saris8_aquas2023.pdf,,,cat,,10.1016/s0140-6736(18)33135-0
unesco-a977887ac889fe61fe645e8a292cd100,Mapping strengths and challenges: women in innovation in Asia-Pacific,Publication,2023-01-01,https://unesdoc.unesco.org/notice?id=p::usmarcdef_0000388133,,"Woman, Education, Sustainable Development Goals",eng,"education>school, education>school>higher education, education, labour, science and technology, labour>employment, education>school>further education, education>school>higher education>college",10.1016/s0140-6736(18)33135-0
acmedsci-3df348804e18b3c7386d13091e1ff19b,Response to DHSC's Women's Health Strategy call for evidence,Publication,2021-06-14,https://acmedsci.ac.uk/file-download/22836484,,"Women's health, Health, Clinical trial",eng,"science and technology>biomedical science, science and technology, health, health>diseases and conditions, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health>health treatment",10.1016/s0140-6736(18)33135-0
unesco-830b61ff81cbd991cc1f2ebb0f1ded8e,Needs and assets mapping: women in SETI in Asia-Pacific Countries,Publication,2021-01-01,https://unesdoc.unesco.org/notice?id=p::usmarcdef_0000379246,,"Education, Woman, Science, technology, engineering, and mathematics",eng,"education, labour, education>school, politics>government, politics",10.1016/s0140-6736(18)33135-0
who-a1060965ead5e16b8f0a10776053f500,Gender balance in WHO panels for guidelines published from 2008 to 2018,Publication,2019-07-07,https://apps.who.int/iris/handle/10665/325760,,"World Health Organization, Evidence-based medicine, Gender",eng,"science and technology, politics, science and technology>social sciences, science and technology>social sciences>psychology, science and technology>social sciences>philosophy",10.1016/s0140-6736(18)33135-0
governmentofperu-14639cab315d47f7faf60f9c1711206d,TECHNICAL DOCUMENT: PREPARATION AND RESPONSE PLAN FOR A POSSIBLE SECOND COVID-19 PANDEMIC WAVE IN PERU,Publication,2020-12-17,https://bvs.minsa.gob.pe/local/Minsa/5203.pdf,,"COVID-19, SARS-CoV-2, COVID-19 pandemic in Peru",spa,"health>health treatment, health, health>diseases and conditions, science and technology, health>health treatment>medicine",10.3389/fimmu.2020.01817
ladocumentationfrancaise-001bc0eec7d316c14d1c28809af9910e,COVARS opinion 22112022 on the Monkeypox epidemic,Publication,2025-05-27,https://www.vie-publique.fr/rapport/287347-avis-du-covars-22112022-sur-l-epidemie-de-monkeypox,,"Infection, Monkeypox, Vaccine",fre,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1056/nejmoa1817307
